ARISHTAS & ASAVAS,,,,,,,
,,,,,,,
Medicine Name,Code,Unit,Basic Price,MRP,Loose Unit,Loose Basic Price,Loose MRP
Patolamuladi Kashayam*,FGK077,200ml,176.15,185,,,
Prasparanyadi Kashayam*,FGK014,200ml,128.55,135,,,
Punarnavadi Kashayam*,FGK044,200ml,128.55,135,,,
Rasnasaptakam Kashayam*,FGK065,200ml,133.3,140,,,
Rasonadikashayam*,FGK071,200ml,204.75,215,,,
Sahacharabaladi Kashayam,FGK035,200ml,111.6,125,,,
Sahacharadi Kashayam*,FGK034,200ml,128.55,135,,,
Saptasaram Kashayam*,FGK057,200ml,142.85,150,,,
Shadangam Kashayam*,FGK058,200ml,200,210,,,
Sitajwarari kashayam,FGK032,200ml,107.1,120,,,
Sonitamritam Kashayam,FGK033,200ml,107.1,120,,,
Sukumaram Kashayam*,FGK036,200ml,142.85,150,,,
Tiktakam Kashayam*,FGK050,200ml,185.7,195,,,
Vairyadi Kashayam,FGK073,200ml,138.35,155,,,
Vajrakam Kashayam*,FGK026,200ml,119,125,,,
Valiya Rasnadi Kashayam*,FGK023,200ml,209.5,220,,,
Varadi Kashayam*,FGK027,200ml,114.25,120,,,
Varanadi Kashayam*,FGK025,200ml,119,125,,,
Varavisaladi Kashayam*,FGK068,200ml,233.3,245,,,
Vasaguluchyadi Kashayam*,FGK028,200ml,114.25,120,,,
Vidaryadi Kashayam*,FGK029,200ml,138.05,145,,,
Virataradi Kashayam*,FGK037,200ml,104.75,110,,,
Vizhalveradi Kashayam*,FGK030,200ml,128.55,135,,,
Vyaghrryadi Kashayam*,FGK031,200ml,128.55,135,,,
Vyoshadi Kashayam*,FGK069,200ml,119,125,,,
,,,,,,,
KWATHAM,,,,,,,
Medicine Name,Code,Unit,Basic Price,MRP,Loose Unit,Basic Price,MRP
Amritotharam Kwatham/Ilayadi Kwatham*,FGK151,100Nos,357,375,1 no,3.57,3.75
Aragvadhi Kwatham*,FGK135,100Nos,366,385,1 no,3.66,3.85
Ashtavargam Kwatham*,FGK130,100Nos,338,355,1 no,3.38,3.55
Balaguluchyadi Kwatham,FGK123,100Nos,312,350,1 no,3.12,3.5
Balajirakadi Kwatham,FGK141,100Nos,404,425,1 no,4.04,4.25
Bhadradi kwatham (Garbharakshakwatham),FGK145,100Nos,450,505,1 no,4.5,5.05
Brihatyadi Kwatham*,FGK152,100Nos,571,600,1 no,5.71,6
Chiruvilwadi Kwatham*,FGK153,100Nos,476,500,1 no,4.76,5
Dasamulakututrayadi Kwatham*,FGK131,100Nos,452,475,1 no,4.52,4.75
Dhanvantaram Kwatham*,FGK124,100Nos,452,475,1 no,4.52,4.75
Drakshadi Kwatham*,FGK139,100Nos,480,505,1 no,4.8,5.05
Dusparsakadi Kwatham*,FGK147,100Nos,504,530,1 no,5.04,5.3
Gandharvasthadi Kwatham*,FGK154,100Nos,380,400,1 no,3.8,4
Guggulutiktam Kwatham*,FGK125,100Nos,661,695,1 no,6.61,6.95
Guluchyadi Kwatham*,FGK149,100Nos,509,535,1 no,5.09,5.35
Indukantam Kwatham*,FGK126,100Nos,380,400,1 no,3.8,4
Katakakhadiradi Kwatham*,FGK144,100Nos,361,380,1 no,3.61,3.8
Manasnaradi Kwatham*,FGK127,100Nos,661,695,1 no,6.61,6.95
Mahatiktam kwatham*,FGK138,100Nos,657,690,1 no,6.57,6.9
Manjishthadi kwatham (Brihat)*,FGK143,100Nos,604,635,1 no,6.04,6.35
Nimbamritadi panchtiktam*,FGK136,100Nos,404,425,1 no,4.04,4.25
Nisakatakadi Kwatham*,FGK155,100Nos,333,350,1 no,3.33,3.5
Patolatorohinyadi Kwatham*,FGK128,100Nos,619,650,1 no,6.19,6.5
Prasarinydi Kwatham*,FGK134,100Nos,400,420,1 no,4,4.2
Punarnavadi Kwatham*,FGK140,100Nos,442,465,1 no,4.42,4.65
Rasnainradi Kwatham*,FGK122,100Nos,661,695,1 no,6.61,6.95
Sahacharadi kwatham*,FGK142,100Nos,366,385,1 no,3.66,3.85
Saptasaram Kwatham*,FGK148,100Nos,366,385,1 no,3.66,3.85
Seetajwarari Kwatham,FGK129,100Nos,321,360,1 no,3.21,3.6
Sukumaram kwatham*,FGK133,100Nos,395,415,1 no,3.95,4.15
Tiktakam Kwatham*,FGK137,100Nos,500,525,1 no,5,5.25
Varanadi Kwatham*,FGK132,100Nos,300,315,1 no,3,3.15
Vajrakam Kwatham*,FGK156,60Nos,209.5,220,,,
Vidaryadi Kwatham*,FGK146,100Nos,404,425,1 no,4.04,4.25
Mustadimarma Kwatham,FGK150,100Nos,491,550,1 no,4.91,5.5
,,,,,,,
,,,,,,,
Medicine Name,Code,Unit,Basic Price,MRP,Loose Unit,Basic Price,MRP
AbhayamritaRasayanam,FGL103,200g,84.8,95,1 g,0.43,0.48
Agasthya Rasayanam*,FGL101,200g,95.2,100,1 g,0.48,0.5
Agasthya Rasayanam*,FGL154,500g,190.45,200,,,
AjiswagandhadiLeham,FGL104,500g,258.9,290,1 g,0.52,0.58
Amrasara Rasayanam,FGL105,200g,107.1,120,1 g,0.54,0.6
Brahma Rasayanam*,FGL128,500g,204.75,215,1 g,0.41,0.43
